Player,Format,Matches,Runs,Batting_Avg,Highest_Score,Strike_Rate,100s,50s,Sixes,Wickets,Bowling_Avg,Economy,Best_Bowling,5_Wicket_Hauls,Catches
Steve Waugh,Test,168,10927,51.06,200,51.55,32,50,20,92,37.44,2.74,5/28,3,112
Steve Waugh,ODI,325,7569,32.9,120*,75.91,3,45,65,195,34.67,4.56,4/33,0,111
Shane Warne,Test,145,3154,17.32,99,57.65,0,12,34,708,25.41,2.65,8/71,37,125
Shane Warne,ODI,194,1018,13.05,55,72.04,0,1,12,293,25.73,4.25,5/33,1,80
Glenn McGrath,Test,124,641,7.36,61,28.71,0,1,4,563,21.64,2.49,8/24,29,38
Glenn McGrath,ODI,250,115,3.83,11,48.72,0,0,0,381,22.02,3.88,7/15,7,37
Anil Kumble,Test,132,2506,17.77,110*,42.06,1,5,5,619,29.65,2.69,10/74,35,60
Anil Kumble,ODI,271,938,10.53,26,61.06,0,0,3,337,30.89,4.3,6/12,2,85
Allan Border,Test,156,11174,50.56,205,41.09,27,63,22,39,39.1,2.14,7/46,2,156
Allan Border,ODI,273,6524,30.62,127*,71.42,3,39,53,73,28.36,4.66,3/20,0,127
Javed Miandad,Test,124,8832,52.57,280*,46.12,23,43,27,17,40.11,2.5,3/74,0,93
Javed Miandad,ODI,233,7381,41.7,119*,67.01,8,50,32,7,42.42,4.86,2/22,0,71
Imran Khan,Test,88,3807,37.69,136,,6,18,31,362,22.81,2.54,8/58,23,28
Imran Khan,ODI,175,3709,33.41,102*,72.65,1,19,43,182,26.61,3.89,6/14,1,67
Ian Botham,Test,102,5200,33.54,208,60.71,14,22,67,383,28.4,2.99,8/34,27,120
Ian Botham,ODI,116,2113,23.21,79,79.1,0,9,36,145,28.54,3.96,4/31,0,36
Sunil Gavaskar,Test,125,10122,51.12,236*,43.35,34,45,26,1,206.0,2.91,1/34,0,108
Sunil Gavaskar,ODI,108,3092,35.13,103*,62.26,1,27,9,1,25.0,5.0,1/10,0,43
Sanath Jayasuriya,Test,110,6973,40.07,340,65.28,14,31,59,98,34.34,2.7,5/34,2,78
Sanath Jayasuriya,ODI,445,13430,32.36,189,91.2,28,68,270,323,36.75,4.78,6/29,4,123
Waqar Younis,Test,87,1010,10.2,45,48.07,0,0,7,373,23.56,3.25,7/76,22,18
Waqar Younis,ODI,262,969,10.3,37,67.8,0,0,9,416,23.84,4.68,7/36,13,35
Inzamam-ul-Haq,Test,120,8830,49.6,329,54.02,25,46,48,0,,2.25,0/1,0,81
Inzamam-ul-Haq,ODI,378,11739,39.52,137*,74.24,10,83,144,3,64.0,4.92,1/4,0,113
Sourav Ganguly,Test,113,7212,42.17,239,51.25,16,35,57,32,52.53,3.23,3/28,0,71
Sourav Ganguly,ODI,311,11363,41.02,183,73.7,22,72,190,100,38.49,5.06,5/16,2,100
Mark Waugh,Test,128,8029,41.81,153*,52.27,20,47,41,59,41.16,2.72,5/40,1,181
Mark Waugh,ODI,244,8500,39.35,173,76.9,18,50,50,85,34.56,4.8,5/24,1,108
Saeed Anwar,Test,55,4052,45.52,188*,59.85,11,25,15,0,,3.37,0/3,0,18
Saeed Anwar,ODI,247,8824,39.21,194,80.67,20,43,97,6,37.66,4.82,2/9,0,43
Shaun Pollock,Test,108,3781,32.31,111,53.79,2,16,35,421,23.11,2.39,7/87,16,72
Shaun Pollock,ODI,303,3519,26.45,130,86.69,1,14,81,393,24.5,3.67,6/35,5,108
Allan Donald,Test,72,652,10.68,37,39.85,0,0,3,330,22.25,2.83,8/71,20,18
Allan Donald,ODI,164,95,4.31,13,31.97,0,0,0,272,21.78,4.15,6/23,2,28
Aravinda de Silva,Test,93,6361,42.97,267,53.11,20,22,42,29,41.65,2.76,3/30,0,43
Aravinda de Silva,ODI,308,9284,34.9,145,81.13,11,64,102,106,39.4,4.86,4/30,0,95
Desmond Haynes,Test,116,7487,42.29,184,43.83,18,39,24,1,8.0,2.66,1/2,0,65
Desmond Haynes,ODI,238,8648,41.37,152*,63.09,17,57,57,0,,,-,0,59
Chris Cairns,Test,62,3320,33.53,158,60.55,5,22,87,218,29.4,3.28,7/27,13,14
Chris Cairns,ODI,215,4950,29.46,115,84.26,4,26,153,201,32.8,4.84,5/42,1,42
Gordon Greenidge,Test,108,7558,44.72,226,45.43,19,34,67,0,,2.0,0/2,0,96
Gordon Greenidge,ODI,128,5134,45.03,133*,64.92,11,31,57,1,42.0,4.2,1/21,0,45
Arjuna Ranatunga,Test,93,5105,35.69,135*,46.1,4,38,23,16,65.0,2.62,2/17,0,47
Arjuna Ranatunga,ODI,269,7456,35.84,131*,77.9,4,49,64,79,47.55,4.79,4/14,0,63
Gary Kirsten,Test,101,7289,45.27,275,43.43,21,34,18,2,38.0,3.16,1/3,0,83
Gary Kirsten,ODI,185,6798,40.95,188*,72.04,13,45,20,0,,8.0,-,0,53
Hansie Cronje,Test,68,3714,36.41,135,47.93,6,23,31,43,29.95,2.3,3/14,0,33
Hansie Cronje,ODI,188,5565,38.64,112,76.47,2,39,94,114,34.78,4.44,5/32,1,73
Alec Stewart,Test,133,8463,39.54,190,50.19,15,45,12,0,,2.14,0/3,0,263
Alec Stewart,ODI,170,4677,31.6,116,68.36,4,28,25,0,,4.0,0/2,0,159
Carl Hooper,Test,102,5762,36.46,233,50.6,13,27,43,114,49.42,2.65,5/26,4,115
Carl Hooper,ODI,227,5761,35.34,113*,76.63,7,29,96,193,36.05,4.36,4/34,0,120
Graham Gooch,Test,118,8900,42.58,333,49.32,20,46,38,23,46.47,2.59,3/39,0,109
Graham Gooch,ODI,125,4290,36.98,142,61.85,8,23,28,36,42.11,4.34,3/19,0,45
Stephen Fleming,Test,111,7172,40.06,274*,45.69,9,46,26,0,,3.66,0/11,0,171
Stephen Fleming,ODI,280,8037,32.4,134*,71.49,8,49,56,1,28.0,4.66,1/8,0,133
Jonty Rhodes,Test,52,2532,35.66,117,46.22,3,17,7,0,,2.5,0/5,0,34
Jonty Rhodes,ODI,245,5935,35.11,121,80.9,2,33,43,0,,5.0,0/5,0,105
Mohammad Azharuddin,Test,99,6215,45.03,199,57.85,22,21,16,0,,,-,0,105
Mohammad Azharuddin,ODI,334,9378,36.92,153*,74.02,7,58,77,12,54.83,4.96,3/19,0,156
